"id","post.test.score","pre.test.score","messages","forum.posts","av.assignment.score","level.up"
1,0.37,0.48,68,7,0.19,"no"
2,0.52,0.37,83,22,0.28,"yes"
3,0.42,0.37,81,7,0.25,"no"
4,0.56,0.34,94,14,0.27,"yes"
5,0.25,0.39,42,11,0.07,"no"
6,0.35,0.48,60,11,0.16,"no"
7,0.4,0.26,71,10,0.13,"no"
8,0.45,0.39,70,10,0.29,"no"
9,0.39,0.28,64,4,0.27,"no"
10,0.47,0.41,72,7,0.24,"no"
11,0.38,0.5,67,14,0.25,"no"
12,0.35,0.36,54,3,0.17,"no"
13,0.39,0.56,77,16,0.25,"no"
14,0.51,0.3,91,7,0.28,"yes"
15,0.33,0.45,65,15,0.14,"no"
16,0.32,0.34,49,3,0.17,"no"
17,0.37,0.42,63,8,0.19,"no"
18,0.53,0.49,87,12,0.3,"yes"
19,0.45,0.43,77,10,0.26,"no"
20,0.41,0.46,82,7,0.22,"no"
21,0.55,0.47,100,21,0.43,"yes"
22,0.46,0.45,84,12,0.23,"no"
23,0.46,0.33,80,8,0.24,"no"
24,0.46,0.4,83,5,0.19,"no"
25,0.38,0.47,72,9,0.24,"no"
26,0.34,0.36,60,9,0.17,"no"
27,0.39,0.5,60,9,0.22,"no"
28,0.4,0.42,61,11,0.17,"no"
29,0.44,0.44,73,8,0.26,"no"
30,0.23,0.37,45,5,0.14,"no"
31,0.43,0.45,80,17,0.15,"no"
32,0.37,0.5,60,12,0.24,"no"
33,0.42,0.52,69,2,0.2,"no"
34,0.43,0.5,78,5,0.24,"no"
35,0.4,0.49,61,17,0.18,"no"
36,0.34,0.45,57,4,0.16,"no"
37,0.29,0.46,45,8,0.16,"no"
38,0.38,0.39,76,8,0.16,"no"
39,0.41,0.41,71,18,0.23,"no"
40,0.42,0.41,64,13,0.21,"no"
41,0.37,0.37,71,9,0.14,"no"
42,0.47,0.27,72,19,0.33,"yes"
43,0.47,0.4,77,5,0.12,"no"
44,0.36,0.39,63,10,0.2,"no"
45,0.23,0.48,35,6,0.11,"no"
46,0.41,0.36,75,5,0.14,"no"
47,0.35,0.23,58,4,0.18,"no"
48,0.39,0.45,59,12,0.2,"no"
49,0.42,0.4,79,12,0.17,"no"
50,0.46,0.49,73,20,0.13,"no"
51,0.31,0.43,61,3,0.15,"no"
52,0.49,0.5,97,11,0.28,"yes"
53,0.41,0.48,65,11,0.2,"no"
54,0.35,0.45,60,9,0.13,"no"
55,0.36,0.54,66,16,0.2,"no"
56,0.31,0.4,49,10,0.17,"no"
57,0.56,0.49,96,14,0.28,"yes"
58,0.37,0.39,62,15,0.21,"no"
59,0.39,0.48,65,6,0.19,"no"
60,0.33,0.31,63,2,0.19,"no"
61,0.39,0.31,73,4,0.22,"no"
62,0.32,0.37,58,5,0.11,"no"
63,0.38,0.27,72,7,0.2,"no"
64,0.35,0.38,67,4,0.19,"no"
65,0.4,0.4,68,7,0.25,"no"
66,0.31,0.33,48,13,0.14,"no"
67,0.4,0.43,72,5,0.2,"no"
68,0.4,0.41,74,18,0.22,"no"
69,0.24,0.44,47,10,0.12,"no"
70,0.32,0.37,63,9,0.12,"no"
71,0.33,0.4,58,11,0.15,"no"
72,0.32,0.44,60,9,0.16,"no"
73,0.43,0.47,73,7,0.24,"no"
74,0.36,0.37,57,8,0.17,"no"
75,0.39,0.41,71,14,0.23,"no"
76,0.27,0.36,53,7,0.19,"no"
77,0.45,0.37,87,15,0.18,"no"
78,0.43,0.44,70,17,0.22,"no"
79,0.36,0.47,56,7,0.24,"no"
80,0.39,0.23,70,15,0.25,"no"
81,0.4,0.32,76,9,0.18,"no"
82,0.47,0.48,81,3,0.25,"no"
83,0.43,0.36,65,8,0.21,"no"
84,0.43,0.43,78,15,0.19,"no"
85,0.41,0.36,74,7,0.29,"no"
86,0.54,0.44,108,20,0.3,"yes"
87,0.33,0.36,64,10,0.13,"no"
88,0.42,0.44,73,8,0.24,"no"
89,0.38,0.37,70,8,0.23,"no"
90,0.47,0.33,88,13,0.22,"no"
91,0.25,0.42,42,5,0.1,"no"
92,0.37,0.46,68,11,0.21,"no"
93,0.4,0.36,65,4,0.2,"no"
94,0.36,0.48,67,15,0.18,"no"
95,0.44,0.39,73,9,0.2,"no"
96,0.51,0.36,81,21,0.31,"yes"
97,0.43,0.35,78,10,0.22,"no"
98,0.37,0.43,61,9,0.18,"no"
99,0.48,0.45,83,19,0.19,"no"
100,0.54,0.46,98,19,0.27,"yes"
101,0.44,0.32,86,7,0.19,"no"
102,0.44,0.47,69,17,0.21,"no"
103,0.29,0.49,49,8,0.14,"no"
104,0.39,0.41,76,7,0.21,"no"
105,0.34,0.36,63,8,0.2,"no"
106,0.41,0.29,80,3,0.24,"no"
107,0.39,0.27,78,10,0.16,"no"
108,0.33,0.46,50,3,0.15,"no"
109,0.44,0.4,79,14,0.26,"no"
110,0.4,0.45,68,17,0.26,"no"
111,0.37,0.43,66,8,0.23,"no"
112,0.47,0.34,92,9,0.18,"no"
113,0.35,0.35,58,9,0.22,"no"
114,0.42,0.41,72,2,0.3,"no"
115,0.48,0.4,85,6,0.27,"yes"
116,0.45,0.45,84,13,0.22,"no"
117,0.43,0.52,85,17,0.25,"no"
118,0.32,0.33,59,4,0.19,"no"
119,0.34,0.24,64,4,0.16,"no"
120,0.26,0.39,50,6,0.11,"no"
121,0.38,0.34,58,11,0.21,"no"
122,0.44,0.57,78,19,0.22,"no"
123,0.29,0.32,51,4,0.16,"no"
124,0.35,0.45,58,6,0.19,"no"
125,0.51,0.25,84,18,0.28,"yes"
126,0.47,0.43,84,7,0.17,"no"
127,0.38,0.25,73,8,0.15,"no"
128,0.46,0.47,91,14,0.21,"no"
129,0.42,0.38,68,4,0.24,"no"
130,0.44,0.23,76,9,0.17,"no"
131,0.47,0.4,84,14,0.29,"yes"
132,0.49,0.54,77,6,0.24,"no"
133,0.43,0.28,80,11,0.18,"no"
134,0.37,0.37,73,6,0.19,"no"
135,0.37,0.41,62,10,0.12,"no"
136,0.4,0.41,63,17,0.17,"no"
137,0.37,0.44,67,7,0.11,"no"
138,0.36,0.41,66,14,0.18,"no"
139,0.36,0.36,63,8,0.2,"no"
140,0.39,0.5,66,8,0.25,"no"
141,0.46,0.5,71,7,0.26,"yes"
142,0.51,0.36,91,7,0.37,"yes"
143,0.36,0.35,66,8,0.17,"no"
144,0.38,0.46,63,12,0.21,"no"
145,0.47,0.46,84,11,0.2,"no"
146,0.34,0.39,57,13,0.16,"no"
147,0.34,0.34,55,4,0.15,"no"
148,0.29,0.49,56,5,0.15,"no"
